customerID,gender,senior_citizen,married,dependents,tenure_months,phone_service,internet_service,security_service,technical_support,streaming_tv,contract_type,payment_method,monthly_payment,total_paid,churn
5948-UJZLF,male,0,no,no,2,yes,dsl,no,no,no,month-to-month,mailed check,70.55,97.0,no
7760-OYPDY,female,0,no,no,2,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,144.15,yes
7639-LIAYI,male,0,no,no,52,yes,dsl,yes,yes,yes,two year,credit card (automatic),70.55,4217.8,no
2954-PIBKO,female,0,yes,yes,69,yes,dsl,yes,yes,no,two year,credit card (automatic),70.55,4254.1,no
8012-SOUDQ,female,1,no,no,43,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,3838.75,no
9420-LOJKX,female,0,no,no,15,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),70.55,1426.4,yes
6575-SUVOI,female,1,yes,no,25,yes,dsl,yes,yes,yes,month-to-month,credit card (automatic),70.55,1752.65,no
7495-OOKFY,female,1,yes,no,8,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),70.55,633.3,yes
4667-QONEA,female,1,yes,yes,60,yes,dsl,yes,yes,no,one year,credit card (automatic),70.55,4456.35,no
1658-BYGOY,male,1,no,no,18,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,1752.55,yes
8769-KKTPH,female,0,yes,yes,63,yes,fiber optic,yes,no,yes,one year,credit card (automatic),70.55,6311.2,no
5067-XJQFU,male,1,yes,yes,66,yes,fiber optic,no,yes,yes,one year,electronic check,70.55,7076.35,no
3957-SQXML,female,0,yes,yes,34,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),70.55,894.3,no
5954-BDFSG,female,0,no,no,72,yes,fiber optic,no,yes,yes,two year,credit card (automatic),70.55,7853.7,no
0434-CSFON,female,0,yes,no,47,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,4707.1,no
1215-FIGMP,male,0,no,no,60,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),70.55,5450.7,no
0526-SXDJP,male,0,yes,no,72,no,dsl,yes,no,no,two year,bank transfer (automatic),70.55,2962.0,no
0557-ASKVU,female,0,yes,yes,18,yes,dsl,no,yes,no,one year,credit card (automatic),70.55,957.1,no
5698-BQJOH,female,0,no,no,9,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,857.25,yes
5122-CYFXA,female,0,no,no,3,yes,dsl,no,yes,yes,month-to-month,electronic check,70.55,244.1,no
8627-ZYGSZ,male,0,yes,no,47,yes,fiber optic,no,no,no,one year,electronic check,70.55,3650.35,no
3410-YOQBQ,female,0,no,no,31,yes,dsl,no,yes,yes,two year,mailed check,70.55,2497.2,no
3170-NMYVV,female,0,yes,yes,50,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,930.9,no
7410-OIEDU,male,0,no,no,10,yes,fiber optic,yes,no,no,month-to-month,mailed check,70.55,887.35,no
2273-QCKXA,male,0,no,no,1,yes,dsl,no,yes,no,month-to-month,mailed check,70.55,49.05,no
0731-EBJQB,female,0,yes,yes,52,yes,no,no internet service,no internet service,no internet service,one year,electronic check,70.55,1090.65,no
1891-QRQSA,male,1,yes,yes,64,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),70.55,7099.0,no
8028-PNXHQ,male,0,yes,yes,62,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,1424.6,no
5630-AHZIL,female,0,no,yes,3,yes,dsl,yes,yes,no,month-to-month,bank transfer (automatic),70.55,177.4,no
2673-CXQEU,female,1,no,no,56,yes,fiber optic,yes,no,yes,one year,electronic check,70.55,6139.5,no
6416-JNVRK,female,0,no,no,46,yes,dsl,no,no,no,one year,credit card (automatic),70.55,2688.85,no
5590-ZSKRV,female,0,yes,yes,8,yes,dsl,yes,no,no,month-to-month,mailed check,70.55,482.25,no
0191-ZHSKZ,male,1,no,no,30,yes,dsl,yes,no,yes,month-to-month,electronic check,70.55,2111.3,no
3887-PBQAO,female,0,yes,yes,45,yes,no,no internet service,no internet service,no internet service,one year,credit card (automatic),70.55,1216.6,no
5919-TMRGD,female,0,no,yes,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,79.35,yes
8108-UXRQN,female,0,yes,yes,11,no,dsl,yes,no,yes,month-to-month,electronic check,70.55,565.35,no
9191-MYQKX,female,0,yes,no,7,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),70.55,496.9,yes
9919-YLNNG,female,0,no,no,42,yes,fiber optic,no,yes,yes,month-to-month,bank transfer (automatic),70.55,4327.5,no
0318-ZOPWS,female,0,yes,no,49,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,973.35,no
4445-ZJNMU,male,0,no,no,9,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),70.55,918.75,no
4808-YNLEU,female,0,yes,no,35,yes,dsl,yes,no,yes,one year,bank transfer (automatic),70.55,2215.45,no
1862-QRWPE,female,0,yes,yes,48,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,1057.0,no
2796-NNUFI,female,0,yes,yes,46,yes,no,no internet service,no internet service,no internet service,two year,mailed check,70.55,927.1,no
3016-KSVCP,male,0,yes,no,29,no,dsl,no,no,yes,month-to-month,mailed check,70.55,1009.25,no
4767-HZZHQ,male,0,yes,yes,30,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),70.55,2570.2,no
2424-WVHPL,male,1,no,no,1,yes,fiber optic,no,yes,no,month-to-month,electronic check,70.55,74.7,no
7233-PAHHL,male,0,yes,yes,66,yes,dsl,yes,yes,yes,two year,mailed check,70.55,5714.25,no
6067-NGCEU,female,0,no,no,65,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),70.55,7107.0,no
9848-JQJTX,male,0,no,no,72,yes,fiber optic,no,no,yes,two year,bank transfer (automatic),70.55,7459.05,no
8637-XJIVR,female,0,no,no,12,yes,fiber optic,yes,no,no,month-to-month,electronic check,70.55,927.35,yes
9803-FTJCG,male,0,yes,yes,71,yes,dsl,yes,yes,no,one year,credit card (automatic),70.55,4748.7,no
0278-YXOOG,male,0,no,no,5,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,113.85,yes
3212-KXOCR,male,0,no,no,52,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,1107.2,no
4598-XLKNJ,female,1,yes,no,25,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,2514.5,yes
6380-ARCEH,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,20.2,no
3679-XASPY,female,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,70.55,19.45,no
7123-WQUHX,male,0,no,no,38,yes,fiber optic,no,yes,yes,one year,bank transfer (automatic),70.55,3605.6,no
5386-THSLQ,female,1,yes,no,66,no,dsl,no,no,yes,one year,bank transfer (automatic),70.55,3027.25,no
3192-NQECA,male,0,yes,no,68,yes,fiber optic,no,yes,yes,two year,bank transfer (automatic),70.55,7611.85,yes
6180-YBIQI,male,0,no,no,5,no,dsl,no,no,no,month-to-month,mailed check,70.55,100.2,no
6728-DKUCO,female,0,yes,yes,72,yes,fiber optic,yes,no,yes,one year,electronic check,70.55,7303.05,no
9750-BOOHV,female,0,no,no,32,no,dsl,yes,no,no,one year,mailed check,70.55,927.65,no
8597-CWYHH,male,0,no,no,43,yes,fiber optic,no,no,yes,one year,mailed check,70.55,3921.3,no
2848-YXSMW,male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),70.55,1363.25,no
0486-HECZI,male,0,yes,no,55,yes,fiber optic,yes,no,yes,month-to-month,electronic check,70.55,5238.9,yes
4549-ZDQYY,female,0,no,no,52,yes,dsl,yes,yes,no,one year,credit card (automatic),70.55,3042.25,no
5712-AHQNN,female,0,no,no,43,yes,fiber optic,no,no,yes,month-to-month,electronic check,70.55,3954.1,no
4846-WHAFZ,female,1,yes,no,37,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,2868.15,yes
5256-SKJGO,female,0,yes,yes,64,no,dsl,no,yes,yes,two year,electronic check,70.55,3423.5,no
3071-VBYPO,male,0,yes,yes,3,yes,fiber optic,yes,no,yes,month-to-month,electronic check,70.55,248.4,no
9560-BBZXK,female,0,no,no,36,no,dsl,yes,no,no,two year,bank transfer (automatic),70.55,1126.35,no
5299-RULOA,female,0,yes,yes,10,yes,fiber optic,yes,no,yes,month-to-month,electronic check,70.55,1064.65,yes
8402-OOOHJ,female,0,no,no,41,yes,no,no internet service,no internet service,no internet service,two year,mailed check,70.55,835.15,no
9445-ZUEQE,male,0,yes,yes,27,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),70.55,2151.6,no
1091-SOZGA,female,0,yes,yes,56,yes,fiber optic,no,no,yes,one year,credit card (automatic),70.55,5515.45,no
2928-HLDBA,female,0,no,no,6,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,112.75,no
0404-SWRVG,male,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,229.55,yes
6497-TILVL,female,0,yes,yes,7,yes,dsl,yes,no,no,month-to-month,mailed check,70.55,350.35,no
7219-TLZHO,female,0,yes,yes,4,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,62.9,no
4622-YNKIJ,male,0,no,no,33,yes,fiber optic,yes,yes,yes,two year,electronic check,70.55,3027.65,no
4412-YLTKF,female,1,no,no,27,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,2135.5,yes
6734-PSBAW,male,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,1723.95,no
3930-ZGWVE,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,19.75,no
2639-UGMAZ,male,1,no,no,71,no,dsl,yes,no,yes,one year,electronic check,70.55,3985.35,no
2876-GZYZC,female,0,no,no,13,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,1215.65,no
6207-WIOLX,female,0,yes,yes,25,no,dsl,yes,no,yes,month-to-month,credit card (automatic),70.55,1502.65,yes
8587-XYZSF,male,0,no,no,67,yes,dsl,no,yes,no,two year,bank transfer (automatic),70.55,3260.1,no
3091-FYHKI,male,0,no,no,1,no,dsl,no,no,no,month-to-month,electronic check,70.55,35.45,yes
2372-HWUHI,male,0,no,no,2,yes,dsl,no,no,no,month-to-month,electronic check,70.55,81.25,yes
7799-LGRDP,female,0,no,no,43,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),70.55,1188.2,no
7850-VWJUU,female,0,no,no,23,yes,fiber optic,yes,no,no,month-to-month,bank transfer (automatic),70.55,1778.5,no
3774-VBNXY,female,0,yes,yes,64,yes,no,no internet service,no internet service,no internet service,two year,mailed check,70.55,1277.75,no
6217-KDYWC,male,0,no,yes,57,yes,no,no internet service,no internet service,no internet service,two year,mailed check,70.55,1170.55,no
0390-DCFDQ,female,1,yes,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,70.55,70.45,yes
3146-MSEGF,female,1,yes,yes,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),70.55,6425.65,no
4080-OGPJL,female,0,no,no,8,yes,dsl,yes,yes,no,month-to-month,electronic check,70.55,563.65,yes
1095-WGNGG,female,0,yes,no,61,yes,fiber optic,no,no,yes,two year,bank transfer (automatic),70.55,5971.25,no
2636-SJDOU,male,0,no,no,64,yes,fiber optic,yes,no,no,one year,credit card (automatic),70.55,5289.05,no
1131-QQZEB,male,1,yes,no,71,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,1756.2,no
5716-EZXZN,female,0,yes,yes,65,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),70.55,6416.7,no
6837-BJYDQ,male,0,no,no,3,yes,no,no internet service,no internet service,no internet service,one year,mailed check,70.55,61.35,no
2135-RXIHG,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,electronic check,70.55,45.65,yes
6440-DKQGE,male,0,no,yes,30,yes,dsl,no,no,yes,one year,credit card (automatic),70.55,1929.95,no
3466-BYAVD,male,0,yes,yes,15,yes,dsl,no,yes,no,month-to-month,mailed check,70.55,1071.4,no
3780-YVMFA,female,0,yes,yes,8,yes,dsl,no,yes,yes,month-to-month,electronic check,70.55,564.35,no
3874-EQOEP,male,0,no,no,7,yes,fiber optic,no,no,yes,month-to-month,mailed check,70.55,655.5,yes
1679-JRFBR,female,0,yes,yes,70,yes,fiber optic,yes,no,yes,one year,credit card (automatic),70.55,7930.55,no
9073-ZZIAY,male,0,yes,yes,62,yes,dsl,yes,yes,yes,two year,electronic check,70.55,5215.25,no
3077-RSNTJ,female,0,yes,yes,6,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,70.55,113.5,no
6551-GNYDG,female,0,yes,yes,14,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),70.55,1152.8,no
9167-APMXZ,female,0,no,no,22,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),70.55,1821.95,no
2749-CTKAJ,male,0,yes,yes,22,yes,no,no internet service,no internet service,no internet service,one year,mailed check,70.55,419.9,no
6371-NZYEG,male,0,yes,yes,16,yes,dsl,yes,no,yes,two year,mailed check,70.55,1024.0,no
7554-NEWDD,male,0,no,no,10,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),70.55,251.6,no
8992-VONJD,female,0,no,yes,13,yes,dsl,yes,no,no,month-to-month,electronic check,70.55,764.55,no
9469-WEJBT,male,0,yes,no,37,yes,fiber optic,no,yes,no,month-to-month,electronic check,90.35,3419.3,no
3331-HQDTW,female,0,no,no,34,yes,fiber optic,yes,no,yes,month-to-month,mailed check,109.8,3587.25,yes
9490-DFPMD,female,1,no,no,42,yes,fiber optic,no,no,yes,month-to-month,electronic check,84.65,3541.35,yes
2581-VKIRT,female,0,yes,yes,59,yes,dsl,yes,yes,no,one year,mailed check,65.5,3801.3,no
5442-XSDCW,male,0,yes,yes,11,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),79.5,868.5,yes
7426-WEIJX,male,1,yes,yes,60,yes,fiber optic,yes,no,no,month-to-month,electronic check,80.95,4859.1,no
2851-MMUTZ,female,0,no,no,27,yes,dsl,no,yes,no,month-to-month,mailed check,56.15,1439.35,no
3049-NDXFL,female,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,85.8,85.8,yes
8580-AECUZ,male,1,no,no,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,79.1,79.1,yes
3307-TLCUD,male,0,yes,no,17,no,dsl,yes,no,no,month-to-month,mailed check,34.4,592.75,no
6625-FLENO,male,0,yes,no,58,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.75,1185.95,no
2967-MXRAV,male,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,one year,mailed check,18.8,18.8,no
7963-GQRMY,female,0,yes,yes,3,yes,dsl,no,no,no,month-to-month,mailed check,44.3,134.5,yes
8189-HBVRW,female,0,no,no,53,yes,fiber optic,yes,no,no,month-to-month,electronic check,90.8,4921.2,no
4163-KIUHY,male,0,no,no,35,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,25.6,901.25,no
1228-FZFRV,male,0,yes,yes,50,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),105.95,5341.8,yes
3500-NSDOA,male,0,yes,yes,68,yes,dsl,no,yes,no,two year,credit card (automatic),70.8,4859.95,no
1171-TYKUR,male,0,yes,no,47,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,25.4,1139.2,no
3761-FLYZI,female,1,yes,no,65,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),108.8,7082.45,no
2058-DCJBE,male,0,no,no,5,yes,fiber optic,no,no,no,month-to-month,electronic check,69.75,324.6,yes
5364-XYIRR,male,0,yes,no,51,yes,fiber optic,no,no,yes,month-to-month,electronic check,94.65,4812.75,yes
4829-AUOAX,female,0,no,no,46,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),96.05,4399.5,yes
1219-NNDDO,female,0,no,no,9,yes,fiber optic,no,no,no,month-to-month,electronic check,76.85,663.55,no
8388-DMKAE,female,0,no,no,8,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.25,174.65,no
4403-BWPAY,male,0,no,no,14,yes,no,no internet service,no internet service,no internet service,one year,credit card (automatic),24.8,321.7,no
9659-QEQSY,female,0,no,no,45,yes,fiber optic,yes,yes,yes,month-to-month,electronic check,115.65,5125.5,no
5405-ZMYXQ,female,0,no,no,8,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),74.6,548.9,no
5047-LHVLY,male,1,no,yes,1,yes,dsl,no,no,no,month-to-month,mailed check,50.15,50.15,yes
1442-OKRJE,male,0,yes,yes,66,yes,fiber optic,yes,no,yes,one year,bank transfer (automatic),103.15,7031.3,no
4737-AQCPU,male,0,yes,yes,72,yes,dsl,yes,yes,no,two year,credit card (automatic),72.1,5016.65,no
9158-VCTQB,female,0,yes,no,41,yes,fiber optic,yes,yes,yes,month-to-month,bank transfer (automatic),113.6,4594.95,yes
2808-CHTDM,female,0,yes,yes,23,yes,no,no internet service,no internet service,no internet service,two year,mailed check,25.1,611.45,no
6311-UEUME,female,0,no,no,29,yes,fiber optic,no,no,yes,month-to-month,electronic check,78.9,2384.15,yes
0793-TWELN,female,0,no,no,4,yes,fiber optic,yes,no,no,month-to-month,electronic check,80.15,319.85,no
3283-WCWXT,male,0,yes,yes,6,yes,no,no internet service,no internet service,no internet service,two year,mailed check,25.4,153.3,no
1060-ENTOF,female,1,yes,no,67,yes,fiber optic,yes,yes,no,one year,credit card (automatic),105.4,7035.6,no
0999-QXNSA,male,1,no,yes,7,yes,dsl,no,no,no,month-to-month,mailed check,45.75,344.2,no
5451-MHQOF,male,0,yes,yes,56,yes,no,no internet service,no internet service,no internet service,one year,mailed check,24.45,1431.65,no
4836-WNFNO,female,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.0,1849.2,no
9225-BZLNZ,male,0,yes,no,72,yes,dsl,yes,no,yes,two year,electronic check,85.25,6083.1,no
0354-VXMJC,male,0,yes,yes,23,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.6,426.65,no
4422-QVIJA,female,0,no,yes,35,yes,dsl,no,no,no,month-to-month,mailed check,50.15,1655.35,no
9365-SRSZE,male,1,yes,no,27,yes,fiber optic,no,no,no,month-to-month,electronic check,70.55,1943.9,no
6839-ITVZJ,female,0,yes,yes,26,yes,dsl,no,yes,no,month-to-month,electronic check,60.05,1616.15,yes
8332-OSJDW,male,0,yes,yes,12,yes,no,no internet service,no internet service,no internet service,one year,mailed check,26.4,314.95,no
4735-BJKOU,female,0,no,no,40,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.15,804.85,no
0274-JKUJR,male,0,yes,yes,7,no,dsl,yes,no,yes,month-to-month,mailed check,58.85,465.7,no
5740-YHGTW,male,0,yes,yes,70,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),97.55,6669.05,no
8917-SZTTJ,male,0,yes,yes,60,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.65,1161.75,no
1696-MZVAU,male,0,yes,yes,39,no,dsl,no,no,no,one year,credit card (automatic),25.25,947.75,no
7359-WWYJV,male,0,yes,no,72,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),114.45,8375.05,no
0375-HVGXO,female,0,no,no,1,no,dsl,no,no,yes,month-to-month,electronic check,34.7,34.7,yes
4906-ZHGPK,male,0,yes,yes,54,yes,dsl,no,yes,yes,one year,electronic check,70.7,3770.0,no
8593-WHYHV,male,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,electronic check,85.3,264.8,yes
3795-GWTRD,female,0,yes,yes,63,yes,dsl,yes,yes,yes,two year,credit card (automatic),75.55,4707.85,no
1298-PHBTI,male,0,yes,yes,71,yes,fiber optic,no,yes,no,two year,electronic check,84.8,6152.4,no
6223-DHJGV,female,0,no,no,42,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.65,958.1,no
6961-MJKBO,male,0,no,no,47,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),20.45,943.0,no
6097-EQISJ,female,0,yes,yes,66,yes,fiber optic,no,no,yes,one year,credit card (automatic),102.45,6615.15,yes
4423-YLHDV,female,0,yes,no,21,yes,fiber optic,yes,no,yes,month-to-month,bank transfer (automatic),104.4,2200.25,yes
8158-WPEZG,male,0,no,no,11,no,dsl,no,yes,no,month-to-month,electronic check,35.65,425.1,no
0107-YHINA,male,0,no,yes,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,99.75,99.75,yes
4918-FYJNT,female,1,yes,no,55,yes,fiber optic,no,yes,no,month-to-month,electronic check,90.45,5044.8,no
0727-BNRLG,male,0,no,no,69,yes,fiber optic,no,yes,yes,two year,credit card (automatic),97.65,6743.55,no
4854-CIDCF,female,1,no,no,3,yes,fiber optic,no,no,no,month-to-month,electronic check,73.85,196.4,no
8640-SDGKB,male,0,no,no,4,yes,dsl,no,yes,yes,month-to-month,electronic check,74.4,299.7,yes
3280-MRDOF,male,1,no,no,30,yes,dsl,no,yes,yes,two year,credit card (automatic),69.1,2093.9,no
6435-SRWBJ,female,0,no,no,5,yes,fiber optic,no,yes,no,month-to-month,electronic check,82.75,417.75,no
9964-WBQDJ,female,0,yes,no,71,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.4,1725.4,no
6303-KFWSL,female,0,no,no,29,yes,dsl,no,no,no,one year,electronic check,55.25,1620.2,no
1702-CCFNJ,male,0,yes,no,52,yes,dsl,no,yes,no,month-to-month,bank transfer (automatic),61.35,3169.55,no
8932-CZHRQ,male,0,no,no,68,yes,dsl,yes,no,no,one year,credit card (automatic),76.75,5233.25,no
0386-CWRGM,female,0,yes,yes,46,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.4,967.85,no
5515-RUGKN,male,0,no,no,8,yes,dsl,no,no,no,month-to-month,credit card (automatic),54.75,438.05,no
0404-AHASP,male,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.7,1421.9,no
7279-NMVJC,female,0,no,no,17,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),19.9,323.15,no
2081-VEYEH,male,0,no,no,3,yes,fiber optic,no,yes,yes,month-to-month,electronic check,107.95,318.6,no
6407-UTSLV,female,1,no,no,2,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),83.8,163.7,no
4116-TZAQJ,female,0,no,no,9,yes,fiber optic,yes,no,no,month-to-month,credit card (automatic),74.25,639.65,yes
9060-HJJRW,female,0,no,no,51,no,dsl,no,no,yes,one year,credit card (automatic),56.4,2928.5,no
2587-YNLES,female,0,yes,yes,6,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.1,100.35,no
7398-SKNQZ,female,0,yes,no,3,yes,fiber optic,no,no,yes,month-to-month,electronic check,94.9,273.2,no
5935-FCCNB,female,1,no,no,17,yes,fiber optic,no,no,yes,month-to-month,electronic check,94.2,1608.15,no
1958-RNRKS,male,0,yes,no,30,yes,dsl,no,no,no,month-to-month,electronic check,49.9,1441.95,no
5136-RGMZO,male,0,no,no,31,yes,dsl,no,yes,yes,month-to-month,electronic check,71.05,2168.15,no
8345-MVDYC,female,0,no,no,45,yes,dsl,yes,yes,yes,two year,bank transfer (automatic),81.65,3618.7,no
8226-BXGES,male,0,yes,no,64,yes,fiber optic,yes,no,no,one year,bank transfer (automatic),89.45,5692.65,no
3877-JRJIP,male,0,no,no,1,yes,dsl,no,no,yes,month-to-month,electronic check,59.85,59.85,yes
